cooler_id,cooler_name,total_doors,total_width_mm,total_height_mm,total_depth_mm,door_index,door_label,shelf_id,shelf_index,tier,tier_label,usable_width_mm,usable_depth_mm,clearance_height_mm,max_weight_kg,eye_level_score,has_pusher_track,cooling_zone
COOLER-3DOOR-HYPER,Hypermarket 3-Door Beverage Showcase,3,2050,2020,750,1,Door 1 (Left - Core CSD & Flavours),D1-S2,2,reach_level,Upper Reach,630,580,280,50.0,0.85,TRUE,Chilled (2-4°C)
COOLER-3DOOR-HYPER,Hypermarket 3-Door Beverage Showcase,3,2050,2020,750,1,Door 1 (Left - Core CSD & Flavours),D1-S3,3,eye_level,Eye-Level Golden Zone,630,580,300,55.0,1.00,TRUE,Chilled (2-4°C)
COOLER-3DOOR-HYPER,Hypermarket 3-Door Beverage Showcase,3,2050,2020,750,1,Door 1 (Left - Core CSD & Flavours),D1-S4,4,touch_level,Mid-Lower Shelf,630,580,310,55.0,0.75,TRUE,Chilled (2-4°C)
COOLER-3DOOR-HYPER,Hypermarket 3-Door Beverage Showcase,3,2050,2020,750,1,Door 1 (Left - Core CSD & Flavours),D1-S5,5,bottom,Bottom Base Shelf,630,600,370,70.0,0.40,FALSE,Chilled (2-4°C)
COOLER-3DOOR-HYPER,Hypermarket 3-Door Beverage Showcase,3,2050,2020,750,2,Door 2 (Center - Energy & Ready Coffee),D2-S1,1,top,Top Shelf,630,580,270,50.0,0.60,TRUE,Chilled (2-4°C)
COOLER-3DOOR-HYPER,Hypermarket 3-Door Beverage Showcase,3,2050,2020,750,2,Door 2 (Center - Energy & Ready Coffee),D2-S2,2,reach_level,Upper Reach,630,580,280,50.0,0.85,TRUE,Chilled (2-4°C)
COOLER-3DOOR-HYPER,Hypermarket 3-Door Beverage Showcase,3,2050,2020,750,2,Door 2 (Center - Energy & Ready Coffee),D2-S3,3,eye_level,Eye-Level Golden Zone,630,580,300,55.0,1.00,TRUE,Chilled (2-4°C)
COOLER-3DOOR-HYPER,Hypermarket 3-Door Beverage Showcase,3,2050,2020,750,2,Door 2 (Center - Energy & Ready Coffee),D2-S4,4,touch_level,Mid-Lower Shelf,630,580,310,55.0,0.75,TRUE,Chilled (2-4°C)
COOLER-3DOOR-HYPER,Hypermarket 3-Door Beverage Showcase,3,2050,2020,750,2,Door 2 (Center - Energy & Ready Coffee),D2-S5,5,bottom,Bottom Base Shelf,630,600,370,70.0,0.40,FALSE,Chilled (2-4°C)
COOLER-3DOOR-HYPER,Hypermarket 3-Door Beverage Showcase,3,2050,2020,750,3,Door 3 (Right - Waters Juices & Smoothies),D3-S1,1,top,Top Shelf,630,580,270,50.0,0.60,TRUE,Chilled (2-4°C)
COOLER-3DOOR-HYPER,Hypermarket 3-Door Beverage Showcase,3,2050,2020,750,3,Door 3 (Right - Waters Juices & Smoothies),D3-S2,2,reach_level,Upper Reach,630,580,280,50.0,0.85,TRUE,Chilled (2-4°C)
COOLER-3DOOR-HYPER,Hypermarket 3-Door Beverage Showcase,3,2050,2020,750,3,Door 3 (Right - Waters Juices & Smoothies),D3-S3,3,eye_level,Eye-Level Golden Zone,630,580,300,55.0,1.00,TRUE,Chilled (2-4°C)
COOLER-3DOOR-HYPER,Hypermarket 3-Door Beverage Showcase,3,2050,2020,750,3,Door 3 (Right - Waters Juices & Smoothies),D3-S4,4,touch_level,Mid-Lower Shelf,630,580,310,55.0,0.75,TRUE,Chilled (2-4°C)
COOLER-3DOOR-HYPER,Hypermarket 3-Door Beverage Showcase,3,2050,2020,750,3,Door 3 (Right - Waters Juices & Smoothies),D3-S5,5,bottom,Bottom Base Shelf,630,600,370,70.0,0.40,FALSE,Chilled (2-4°C)
COOLER-2DOOR-SLIM,Slim-Line 2-Door Convenience Cooler,2,1120,1950,650,1,Door 1 (Left - Refreshment),D1-S1,1,top,Top Shelf,500,480,270,38.0,0.60,TRUE,Chilled (2-4°C)
COOLER-2DOOR-SLIM,Slim-Line 2-Door Convenience Cooler,2,1120,1950,650,1,Door 1 (Left - Refreshment),D1-S2,2,reach_level,Upper Reach,500,480,280,38.0,0.85,TRUE,Chilled (2-4°C)
COOLER-2DOOR-SLIM,Slim-Line 2-Door Convenience Cooler,2,1120,1950,650,1,Door 1 (Left - Refreshment),D1-S3,3,eye_level,Eye-Level Golden Zone,500,480,300,42.0,1.00,TRUE,Chilled (2-4°C)
COOLER-2DOOR-SLIM,Slim-Line 2-Door Convenience Cooler,2,1120,1950,650,1,Door 1 (Left - Refreshment),D1-S4,4,bottom,Bottom Base Shelf,500,500,360,50.0,0.40,FALSE,Chilled (2-4°C)
COOLER-2DOOR-SLIM,Slim-Line 2-Door Convenience Cooler,2,1120,1950,650,2,Door 2 (Right - Functional & Water),D2-S1,1,top,Top Shelf,500,480,270,38.0,0.60,TRUE,Chilled (2-4°C)
COOLER-2DOOR-SLIM,Slim-Line 2-Door Convenience Cooler,2,1120,1950,650,2,Door 2 (Right - Functional & Water),D2-S2,2,reach_level,Upper Reach,500,480,280,38.0,0.85,TRUE,Chilled (2-4°C)
COOLER-2DOOR-SLIM,Slim-Line 2-Door Convenience Cooler,2,1120,1950,650,2,Door 2 (Right - Functional & Water),D2-S3,3,eye_level,Eye-Level Golden Zone,500,480,300,42.0,1.00,TRUE,Chilled (2-4°C)
COOLER-2DOOR-SLIM,Slim-Line 2-Door Convenience Cooler,2,1120,1950,650,2,Door 2 (Right - Functional & Water),D2-S4,4,bottom,Bottom Base Shelf,500,500,360,50.0,0.40,FALSE,Chilled (2-4°C)
COOLER-1DOOR-TALL,High-Capacity 1-Door Tall Beverage Cooler,1,850,2150,700,1,Door 1 (High Bay),D1-S1,1,top,Top Shelf,750,540,280,50.0,0.60,TRUE,Chilled (2-4°C)
COOLER-1DOOR-TALL,High-Capacity 1-Door Tall Beverage Cooler,1,850,2150,700,1,Door 1 (High Bay),D1-S2,2,reach_level,Upper Reach Tier 1,750,540,290,50.0,0.85,TRUE,Chilled (2-4°C)
COOLER-1DOOR-TALL,High-Capacity 1-Door Tall Beverage Cooler,1,850,2150,700,1,Door 1 (High Bay),D1-S3,3,eye_level,Eye-Level Golden Zone 1,750,540,300,55.0,1.00,TRUE,Chilled (2-4°C)
COOLER-1DOOR-TALL,High-Capacity 1-Door Tall Beverage Cooler,1,850,2150,700,1,Door 1 (High Bay),D1-S4,4,eye_level,Eye-Level Golden Zone 2,750,540,300,55.0,0.95,TRUE,Chilled (2-4°C)
COOLER-1DOOR-TALL,High-Capacity 1-Door Tall Beverage Cooler,1,850,2150,700,1,Door 1 (High Bay),D1-S5,5,touch_level,Lower Touch Shelf,750,540,310,55.0,0.75,TRUE,Chilled (2-4°C)
COOLER-1DOOR-TALL,High-Capacity 1-Door Tall Beverage Cooler,1,850,2150,700,1,Door 1 (High Bay),D1-S6,6,bottom,Bottom Base Shelf,750,560,380,65.0,0.40,FALSE,Chilled (2-4°C)
